,session_id,has_booking,has_booking_pred
0,4175939893794521966,0,0
1,9175174925268392332,0,0
2,5361965966177226983,1,0
3,7996347049132178025,1,0
4,6061498713259551906,0,0
5,517603758164921943,0,0
6,2495268472746631452,0,0
7,3462607902786480031,0,0
8,8327507071219915101,0,0
9,7317759385154836928,0,0
10,2313169575834265532,0,0
11,7470066518691495018,0,0
12,3330192389687130104,1,0
13,1482731539706842955,0,0
14,2685930106552404957,0,0
15,3423126778590994598,1,0
16,4864349213919027315,0,0
17,9196170310585701864,0,0
18,4872057185347022978,0,0
19,7855977859002825642,1,0
20,4742379468439071023,0,0
21,4055102439704430107,0,0
22,2943225145538990677,1,0
23,3430315759039513095,0,0
24,5022184548728791874,0,0
25,7557133048833812963,1,0
26,7601387817235209236,0,0
27,1940393080633281570,1,0
28,5937629697015042368,0,0
29,8112603983753441880,1,0
30,1541323298830909850,0,0
31,7790429858556599637,0,0
32,5808154450536165092,1,0
33,2750584099022272847,1,0
34,452580423092717602,0,0
35,7008923196265322111,1,0
36,4578256042677435969,0,0
37,8158139199259104024,0,0
38,4415392023821461953,0,0
39,4807028583745285920,0,0
40,8445878893119496174,0,0
41,322809098320252171,1,0
42,6701710865180713475,0,0
43,2603593647042584317,1,0
44,8177672667120877970,1,0
45,3897912137583193560,0,0
46,2948850812709792198,1,0
47,262536489446136579,0,0
48,6279779002320294786,0,0
49,2605065645194090161,0,0
50,1967883732792346422,0,0
51,7813376605027793279,1,0
52,462345981694531571,0,0
53,6903398315807979841,0,0
54,2485057421134419081,0,0
55,4061049490873284061,0,0
56,170786615678590472,0,0
57,7854969222413806736,0,0
58,2158164896344669935,0,0
59,2032302198206800380,0,0
60,7713229387795554446,0,0
61,1677484559708735459,0,0
62,3630167890228977679,0,0
63,48444076839657709,0,0
64,5314922581682871958,0,0
65,6437083093429163337,0,0
66,8994965544912334953,0,0
67,7700450913533889384,0,0
68,7560330344191980400,0,0
69,3766163351454189339,0,0
70,4946885794586234702,0,0
71,1685270147574637210,0,0
72,888215947468494271,0,0
73,2153423408071442950,0,0
74,3886863842350086954,0,0
75,2483920307457425011,0,0
76,745268202118828551,0,0
77,9216050468728725661,0,0
78,8462973647213736767,0,0
79,8067722850336549361,1,0
80,5628753054441224256,1,0
81,6121907468611062527,0,0
82,5428572115373206342,1,0
83,606548069386247395,0,0
84,8377594104514221482,0,0
85,9182834556986130516,0,0
86,9010484263013270692,1,0
87,4492111068515957901,0,0
88,4871390391126064276,0,0
89,8165948964750198353,1,0
90,2592853941872743931,0,0
91,5892332041062639134,0,0
92,7764117374432206581,0,0
93,5323044893498114846,1,0
94,22960823637468594,0,0
95,8243268353446832161,1,0
96,8056347159840508664,0,0
97,801794966126734128,1,0
98,6130698753299983206,1,0
99,3716276210160457890,0,0
100,509546701875263979,0,0
101,6170450376636969926,0,0
102,7322628188275786043,0,0
103,7903433683049022299,0,0
104,6555646454510920892,0,0
105,9189101783997888490,0,0
106,3091967241224892497,0,0
107,5663444635270303284,0,0
108,226475825807862875,0,0
109,495660456535946386,0,0
110,1049655981121170582,0,0
111,1818924362296977150,0,0
112,6054077273242490938,0,0
113,5325286740022728628,0,0
114,9020455126808984827,0,0
115,258526169976863726,0,0
116,2185667485198763051,0,0
117,2554092087916612578,0,0
118,3334159896029461214,0,0
119,2322495316716203298,0,0
120,768588495798714485,0,0
121,2841987485903122597,0,0
122,170111211755568783,0,0
123,1640788328152230911,0,0
124,5756417816988205922,1,0
125,6749291810254860580,0,0
126,8443206844927275028,1,0
127,7623735837181027495,0,0
128,3226580130999542998,0,0
129,6904926698002809065,0,0
130,2576948671878112552,0,0
131,7572532334668287394,0,0
132,2349083956163304317,0,0
133,8581160980416330087,0,0
134,5918279317426216724,0,0
135,2333930478392976337,0,0
136,8390278940718374939,0,0
137,8072281478493718088,0,0
138,5973705482770246886,0,0
139,4205494361435133011,0,0
140,3664291561756524761,0,0
141,2789748881917809387,0,0
142,6699975871193490299,0,0
143,4064801918708204525,0,0
144,1889185841841026355,0,0
145,9217105243323242659,0,0
146,2908479107588100043,0,0
147,8074994479256320405,0,0
148,2183467075364789618,1,0
149,2088219660407800960,1,0
150,4844842774636513763,1,0
151,3358248139868109666,0,0
152,3924738839123759841,0,0
153,4644880662579339213,0,0
154,5858199565620319370,0,0
155,241604724321810626,0,0
156,723657874076287014,0,0
157,8032993403639312464,1,0
158,4466939621961713046,0,0
159,1846338954101249956,0,0
160,2757102930160480471,0,0
161,481604823256406131,0,0
162,1922264686338186446,0,0
163,6569975795862692702,1,0
164,4030072589009166042,1,0
165,2753114887860206977,0,0
166,8106756305644382632,0,0
167,364062284572944663,1,0
168,325429760739758553,0,0
169,3268313308730170383,1,0
170,3988674069746248782,0,0
171,5070870486771043145,0,0
172,2341467432510510480,0,0
173,7311150006533308605,0,0
174,3728604350170713380,0,0
175,7109946345102287444,0,0
176,8902638351354651599,0,0
177,4022022263053265736,0,0
178,7307596658797211907,1,0
179,5451483270566072370,0,0
180,5593355219837593790,0,0
181,224315212561214408,0,0
182,1189794888556909111,0,0
183,1584385955406007520,0,0
184,2400780761097714183,1,0
185,4545077560430744957,0,0
186,4977042863772941522,0,0
187,7556563238293743626,0,0
188,6280111494816970210,1,0
189,3793921976106792773,0,0
190,1709567746027580041,0,0
191,7949768511303781869,0,0
192,8737289674311126702,0,0
193,8260115750747513976,0,0
194,5047080673046699097,1,0
195,8135160902690998404,0,0
196,6157197886844944742,0,0
197,498522295016349302,0,0
198,7004611644059524589,0,0
199,7135203618198543627,0,0
200,4117275436591795451,1,0
201,7338985050995518415,0,0
202,7194273422804573667,0,0
203,8970255170521615887,0,0
204,3035950203300967091,0,0
205,6652990364914388448,1,0
206,2652876572469401992,0,0
207,7338209379332480914,0,0
208,70307072714714986,0,0
209,5140830702072067873,1,0
210,6746911683260513233,0,0
211,485720915824587685,0,0
212,1901717101116267681,0,0
213,1205463105605455179,0,0
214,3665905175231969141,0,0
215,5349421711449179793,1,0
216,5547131522672019332,0,0
217,3601956845260773795,0,0
218,1954398114010913850,0,0
219,6271323644630458205,0,0
220,2269130013354100648,0,0
221,5619383704453122293,0,0
222,9191779536598120571,0,0
223,499752294371357510,0,0
224,6006514686202822186,0,0
225,1380756685865029542,0,0
226,6645483182436931321,0,0
227,7339105970206874105,0,0
228,4774598788629315187,0,0
229,9026237923139736655,1,0
230,2339571913777488464,0,0
231,4558199268872159642,0,0
232,3523796501810206929,0,0
233,5858290351072493863,0,0
234,7421866301684604491,0,0
235,8944371043445854625,1,0
236,4641286235995298440,0,0
237,9134462141277775190,1,0
238,4405515511459733953,0,0
239,5094494374145792482,0,0
240,5199897730607254524,1,0
241,5348367493299596130,0,0
242,5560951351581576173,0,0
243,402742723168116311,0,0
244,649071190324984689,0,0
245,416079009357666311,1,0
246,2927790441135866241,0,0
247,3180323307295278956,0,0
248,6539833725991907057,0,0
249,9129769756375210143,1,0
250,3144871392143013798,0,0
251,7402032358913589929,1,0
252,4631098080527453243,0,0
253,4148335297922893071,0,0
254,4060590908498301229,0,0
255,4008426414703860546,0,0
256,4212851884432808952,0,0
257,5120295482057871035,0,0
258,2601821201682390648,0,0
259,4359522960603390746,0,0
260,5754018423123598037,0,0
261,271303970488889110,0,0
262,4373520326071244915,0,0
263,6449839957987820228,1,0
264,7478044876462589732,0,0
265,3417084467245125333,0,0
266,1323191229669891194,0,0
267,884641828859426030,0,0
268,2786551185978090674,0,0
269,1819389437813745188,0,0
270,7230084936713703492,0,0
271,7789788699351205301,0,0
272,3691991550759776772,0,0
273,9161866826157472423,0,0
274,928406725949029177,1,0
275,2263214445649689647,1,0
276,3496340547223899441,0,0
277,2154875457620950224,1,0
278,4446109687825360828,0,0
279,7848607589563839286,0,0
280,6033881828061384898,1,0
281,1867262756271860214,0,0
282,8323907786116014318,0,0
283,3388805439812304675,0,0
284,8273805389315477993,0,0
285,6953828107413563527,0,0
286,7426976576574009718,0,0
287,2074433682091547848,1,0
288,4891999515152823744,0,0
289,1293926196217649722,1,0
290,6601020612422645240,0,0
291,5996410416543666244,0,0
292,2954929893110924298,0,0
293,5111875939853905708,0,0
294,3958673722527240257,0,0
295,8568724522607297086,0,0
296,6414862188184043479,0,0
297,8626318438018796726,0,0
298,5638839616309135840,1,0
299,3309073763684820763,0,0
300,7835598084227545105,0,0
301,408696572991057346,0,0
302,6568100571047030190,1,0
303,549159619946086612,0,0
304,7442716087482698023,0,0
305,4273829959189856016,0,0
306,4748520753860195176,0,0
307,7992539510785752080,1,0
308,3044176173864576984,0,0
309,3106441475491734258,1,0
310,1422301970171484638,0,0
311,7945059373696218246,1,0
312,2954410042124534683,1,0
313,4862900993027727807,1,0
314,998351078527046746,0,0
315,5109717334725198082,0,0
316,1265258757190431218,0,0
317,7795718535448485818,0,0
318,9042891663940287340,0,0
319,562674821569351149,1,0
320,1551726891248152795,0,0
321,3778608385905760153,0,0
322,3561311420568315299,0,0
323,7170645689065844719,0,0
324,2526445904293905152,0,0
325,5103215457465323396,1,0
326,1068227414665556286,0,0
